seed,initialization,method,epoch,mask,repeat,teacher_accuracy,teacher_full_accuracy,kl,full_correct_to_wrong,background_ratio,foreground_missing,swaps
0,scratch,dino,0,student,0,0.98,0.985,0.011760725,0.01,0.6801530612244897,0.031216542617809945,0.0
0,scratch,dino,0,student,1,0.98,0.985,0.011760725,0.01,0.6801530612244897,0.031216542617809945,0.0
0,scratch,dino,0,student,2,0.98,0.985,0.011760725,0.01,0.6801530612244897,0.031216542617809945,0.0
0,scratch,dino,0,student,3,0.98,0.985,0.011760725,0.01,0.6801530612244897,0.031216542617809945,0.0
0,scratch,dino,0,student,4,0.98,0.985,0.011760725,0.01,0.6801530612244897,0.031216542617809945,0.0
0,scratch,dino,0,random,0,0.96,0.985,0.047686644,0.025,0.8246938775510205,0.48994748795493875,0.0
0,scratch,dino,0,random,1,0.97,0.985,0.026617017,0.015,0.8235204081632653,0.4946262972715817,0.0
0,scratch,dino,0,random,2,0.95,0.985,0.06240031,0.035,0.8219387755102041,0.47777470733476307,0.0
0,scratch,dino,0,random,3,0.955,0.985,0.050456308,0.03,0.822857142857143,0.4756299304983063,0.0
0,scratch,dino,0,random,4,0.945,0.985,0.09046187,0.045,0.8268877551020407,0.5175266882325791,0.0
0,scratch,dino,0,random_rescue_10,0,0.97,0.985,0.037747923,0.02,0.7094897959183674,0.14498520387840916,10.0
0,scratch,dino,0,random_rescue_10,1,0.965,0.985,0.018537087,0.02,0.7095918367346938,0.13133261152083622,10.0
0,scratch,dino,0,random_rescue_10,2,0.975,0.985,0.012080613,0.01,0.7098469387755102,0.12404431423865989,10.0
0,scratch,dino,0,random_rescue_10,3,0.98,0.985,0.013733658,0.01,0.7104081632653062,0.1378051880187644,10.0
0,scratch,dino,0,random_rescue_10,4,0.985,0.985,0.0131086,0.005,0.7104591836734694,0.1309785604929742,10.0
0,scratch,dino,0,foreground_rescue_10,0,0.98,0.985,0.011760266,0.01,0.6683163265306122,0.014354763918903935,1.16
0,scratch,dino,0,foreground_rescue_10,1,0.98,0.985,0.01174547,0.01,0.6683163265306122,0.014354763918903935,1.16
0,scratch,dino,0,foreground_rescue_10,2,0.98,0.985,0.01175889,0.01,0.6683163265306122,0.014354763918903935,1.16
0,scratch,dino,0,foreground_rescue_10,3,0.98,0.985,0.011743393,0.01,0.6683163265306122,0.014354763918903935,1.16
0,scratch,dino,0,foreground_rescue_10,4,0.98,0.985,0.011742759,0.01,0.6683163265306122,0.014354763918903935,1.16
0,scratch,dino,0,low_score_rescue_10,0,0.99,0.985,0.007174092,0.0,0.6847448979591837,0.037059894993824664,10.0
