seed,initialization,method,epoch,lr,active_method,val_macro_accuracy,val_accuracy,train_loss,optimizer_updates,train_seconds,epoch_seconds_with_probe,swaps,added_foreground,removed_foreground
0,scratch,dino,1,0.0001,dino,0.261,0.261,1.875222915649414,47,97.23802103591152,112.95447505102493,0.0,0.0,0.0
0,scratch,dino,2,0.0002,dino,0.324,0.324,1.769619551340739,47,98.02175902319141,114.7953413289506,0.0,0.0,0.0
0,scratch,dino,3,0.00030000000000000003,dino,0.356,0.356,1.7295842310587566,47,94.73004363500513,110.65792352706194,0.0,0.0,0.0
0,scratch,dino,4,0.0004,dino,0.37099999999999994,0.371,1.6690903692245482,47,94.25228607910685,110.08106059604324,0.0,0.0,0.0
0,scratch,dino,5,0.0005,dino,0.40599999999999997,0.406,1.6346950070063273,47,90.74236858799122,106.29307097289711,0.0,0.0,0.0
0,scratch,dino,6,0.0005,dino,0.41500000000000004,0.415,1.563050324122111,47,94.50967519287951,110.30195003002882,0.0,0.0,0.0
0,scratch,dino,7,0.0004998606701506985,dino,0.496,0.496,1.4829670305252076,47,94.96197857102379,110.82650451594964,0.0,0.0,0.0
0,scratch,dino,8,0.0004994428362164767,dino,0.457,0.457,1.4255416507720948,47,93.80708003696054,109.4770894239191,0.0,0.0,0.0
0,scratch,dino,9,0.0004987469648645818,dino,0.502,0.502,1.3776069418589274,47,94.7934954399243,110.37195015116595,0.0,0.0,0.0
0,scratch,dino,10,0.0004977738332946176,dino,0.507,0.507,1.3092274119059244,47,94.19243158586323,121.84926505200565,0.0,0.0,0.0
0,scratch,dino,11,0.0004965245283705121,dino,0.499,0.499,1.2727958103815715,47,94.5876504718326,110.23662745696492,0.0,0.0,0.0
0,scratch,dino,12,0.0004950004454066284,dino,0.534,0.534,1.2260436480840047,47,94.02586169098504,109.72910231607966,0.0,0.0,0.0
0,scratch,dino,13,0.0004932032866093767,dino,0.563,0.563,1.2030284264882405,47,94.35091071203351,110.08362243999727,0.0,0.0,0.0
0,scratch,dino,14,0.000491135059176067,dino,0.5479999999999999,0.548,1.1770654840469361,47,93.91482925089076,109.43676666496322,0.0,0.0,0.0
0,scratch,dino,15,0.0004887980730531247,dino,0.556,0.556,1.1322930793762207,47,94.47461943910457,110.58561689895578,0.0,0.0,0.0
0,scratch,dino,16,0.00048619493835617576,dino,0.561,0.561,1.104064332962036,47,94.06151032703929,109.58643943304196,0.0,0.0,0.0
0,scratch,dino,17,0.00048332856245487986,dino,0.5509999999999999,0.551,1.0739700374603272,47,96.33328940486535,112.10765693010762,0.0,0.0,0.0
0,scratch,dino,18,0.000480202146725769,dino,0.554,0.554,1.0535126430193582,47,94.37320304405876,109.88424844201654,0.0,0.0,0.0
0,scratch,dino,19,0.00047681918297671805,dino,0.5519999999999999,0.552,1.031982358932495,47,94.2328616278246,110.05554575496353,0.0,0.0,0.0
