epoch,seed,student_correct,teacher_full_correct,teacher_masked_correct,teacher_raw_correct,student_prediction,teacher_prediction,teacher_masked_prediction,teacher_mask_kl,teacher_raw_kl,teacher_student_kl,prediction_agreement,teacher_flip,correction_opportunity,correction_signal_preserved,swaps,raw_background_ratio,raw_foreground_missing,raw_background_excess_vs_area,raw_foreground_area_missing,raw_zero_foreground,actual_background_ratio,actual_foreground_missing,actual_background_excess_vs_area,actual_foreground_area_missing,actual_zero_foreground,added_foreground,removed_foreground,initialization,method,n_probe
0,0,0.085,0.985,0.98,0.98,5.92,4.445,4.41,0.01176072470843792,0.01176072470843792,1.8246694803237915,0.09,0.01,0.9,0.89,0.0,0.6801530612244897,0.031216542617809945,-0.14454081632653062,0.046123994755544115,0.05,0.6801530612244897,0.031216542617809945,-0.14454081632653062,0.046123994755544115,0.05,0.0,0.0,scratch,dino,200
1,0,0.26,0.985,0.98,0.98,5.005,4.445,4.41,0.01176072470843792,0.01176072470843792,1.543202519416809,0.26,0.01,0.725,0.72,0.0,0.6801530612244897,0.031216542617809945,-0.14454081632653062,0.046123994755544115,0.05,0.6801530612244897,0.031216542617809945,-0.14454081632653062,0.046123994755544115,0.05,0.0,0.0,scratch,dino,200
2,0,0.295,0.985,0.98,0.98,4.495,4.445,4.41,0.01176072470843792,0.01176072470843792,1.4259244203567505,0.3,0.01,0.69,0.68,0.0,0.6801530612244897,0.031216542617809945,-0.14454081632653062,0.046123994755544115,0.05,0.6801530612244897,0.031216542617809945,-0.14454081632653062,0.046123994755544115,0.05,0.0,0.0,scratch,dino,200
3,0,0.38,0.985,0.98,0.98,4.08,4.445,4.41,0.01176072470843792,0.01176072470843792,1.3615642786026,0.385,0.01,0.605,0.595,0.0,0.6801530612244897,0.031216542617809945,-0.14454081632653062,0.046123994755544115,0.05,0.6801530612244897,0.031216542617809945,-0.14454081632653062,0.046123994755544115,0.05,0.0,0.0,scratch,dino,200
4,0,0.39,0.985,0.98,0.98,5.425,4.445,4.41,0.01176072470843792,0.01176072470843792,1.3507152795791626,0.395,0.01,0.595,0.585,0.0,0.6801530612244897,0.031216542617809945,-0.14454081632653062,0.046123994755544115,0.05,0.6801530612244897,0.031216542617809945,-0.14454081632653062,0.046123994755544115,0.05,0.0,0.0,scratch,dino,200
5,0,0.415,0.985,0.98,0.98,4.45,4.445,4.41,0.01176072470843792,0.01176072470843792,1.3074685335159302,0.42,0.01,0.57,0.56,0.0,0.6801530612244897,0.031216542617809945,-0.14454081632653062,0.046123994755544115,0.05,0.6801530612244897,0.031216542617809945,-0.14454081632653062,0.046123994755544115,0.05,0.0,0.0,scratch,dino,200
6,0,0.415,0.985,0.98,0.98,4.69,4.445,4.41,0.01176072470843792,0.01176072470843792,1.2690982818603516,0.42,0.01,0.57,0.565,0.0,0.6801530612244897,0.031216542617809945,-0.14454081632653062,0.046123994755544115,0.05,0.6801530612244897,0.031216542617809945,-0.14454081632653062,0.046123994755544115,0.05,0.0,0.0,scratch,dino,200
7,0,0.48,0.985,0.98,0.98,4.62,4.445,4.41,0.01176072470843792,0.01176072470843792,1.1425689458847046,0.485,0.01,0.505,0.495,0.0,0.6801530612244897,0.031216542617809945,-0.14454081632653062,0.046123994755544115,0.05,0.6801530612244897,0.031216542617809945,-0.14454081632653062,0.046123994755544115,0.05,0.0,0.0,scratch,dino,200
8,0,0.48,0.985,0.98,0.98,5.065,4.445,4.41,0.01176072470843792,0.01176072470843792,1.184444785118103,0.485,0.01,0.505,0.495,0.0,0.6801530612244897,0.031216542617809945,-0.14454081632653062,0.046123994755544115,0.05,0.6801530612244897,0.031216542617809945,-0.14454081632653062,0.046123994755544115,0.05,0.0,0.0,scratch,dino,200
9,0,0.475,0.985,0.98,0.98,4.925,4.445,4.41,0.01176072470843792,0.01176072470843792,1.133510947227478,0.48,0.01,0.51,0.5,0.0,0.6801530612244897,0.031216542617809945,-0.14454081632653062,0.046123994755544115,0.05,0.6801530612244897,0.031216542617809945,-0.14454081632653062,0.046123994755544115,0.05,0.0,0.0,scratch,dino,200
