epoch,seed,student_correct,teacher_full_correct,teacher_masked_correct,teacher_raw_correct,student_prediction,teacher_prediction,teacher_masked_prediction,teacher_mask_kl,teacher_raw_kl,teacher_student_kl,prediction_agreement,teacher_flip,correction_opportunity,correction_signal_preserved,swaps,raw_background_ratio,raw_foreground_missing,raw_background_excess_vs_area,raw_foreground_area_missing,raw_zero_foreground,actual_background_ratio,actual_foreground_missing,actual_background_excess_vs_area,actual_foreground_area_missing,actual_zero_foreground,added_foreground,removed_foreground,initialization,method,n_probe
0,1,0.115,0.99,0.93,0.92,4.35,4.46,4.46,0.14620257914066315,0.1444326788187027,1.8374775648117065,0.105,0.06,0.885,0.835,10.0,0.8110714285714287,0.4192008084694095,-0.013622448979591839,0.4293116920767352,0.05,0.8135204081632653,0.42994755365076703,-0.011173469387755106,0.4389433039538562,0.05,1.56,1.8,scratch,adaptive_random_to_low_10,200
1,1,0.26,0.99,0.93,0.93,4.045,4.46,4.4,0.11175819486379623,0.14801697432994843,1.5280460119247437,0.265,0.06,0.73,0.675,10.0,0.7898979591836734,0.3686441251214337,-0.03479591836734695,0.37948160106505385,0.05,0.7960204081632654,0.39541872493479585,-0.028673469387755102,0.4032232157909311,0.05,1.45,2.05,scratch,adaptive_random_to_low_10,200
2,1,0.345,0.99,0.885,0.86,4.345,4.46,4.585,0.2501186430454254,0.3109791874885559,1.4127758741378784,0.345,0.105,0.65,0.58,10.0,0.8009693877551021,0.42604330139056074,-0.023724489795918367,0.42372780083096584,0.05,0.8047959183673469,0.44374026880079526,-0.019897959183673476,0.44040776243666185,0.05,1.51,1.885,scratch,adaptive_random_to_low_10,200
3,1,0.365,0.99,0.93,0.885,4.245,4.46,4.63,0.15754413604736328,0.25754985213279724,1.4000656604766846,0.37,0.06,0.625,0.58,10.0,0.7918877551020407,0.40965951818674756,-0.0328061224489796,0.42161455516616114,0.05,0.7988265306122448,0.43483517847972497,-0.02586734693877551,0.43176017787773163,0.05,1.435,2.115,scratch,adaptive_random_to_low_10,200
4,1,0.32,0.99,0.9,0.87,3.605,4.46,4.54,0.19268126785755157,0.32121163606643677,1.405840277671814,0.325,0.09,0.67,0.595,10.0,0.8109183673469386,0.4774099699353901,-0.013775510204081636,0.47982220196165143,0.05,0.8125510204081634,0.4823746234587101,-0.01214285714285714,0.4848564114794135,0.05,1.595,1.755,scratch,adaptive_random_to_low_10,200
5,1,0.365,0.99,0.92,0.905,4.75,4.46,4.6,0.09442911297082901,0.17652374505996704,1.395085096359253,0.37,0.07,0.625,0.59,10.0,0.8151530612244899,0.45656258013808004,-0.009540816326530614,0.4683250119513832,0.05,0.8165816326530612,0.4645401239742003,-0.008112244897959184,0.4785503855161369,0.05,1.705,1.845,scratch,adaptive_random_to_low_10,200
6,1,0.38,0.99,0.935,0.91,4.005,4.46,4.485,0.13653163611888885,0.21215888857841492,1.3196496963500977,0.39,0.055,0.61,0.56,10.0,0.8096428571428572,0.4391631904680289,-0.015051020408163267,0.45981508916709574,0.05,0.8142857142857143,0.4620801984618709,-0.010408163265306122,0.4734564793296158,0.05,1.535,1.99,scratch,adaptive_random_to_low_10,200
7,1,0.415,0.99,0.925,0.92,4.925,4.46,4.535,0.12209068238735199,0.18050342798233032,1.2302649021148682,0.425,0.065,0.575,0.53,10.0,0.8038775510204081,0.4301939903753349,-0.020816326530612245,0.4396719553973526,0.05,0.8093367346938776,0.45997878674708137,-0.015357142857142861,0.46065202839672564,0.05,1.46,1.995,scratch,adaptive_random_to_low_10,200
8,1,0.435,0.99,0.93,0.93,4.025,4.46,4.57,0.1506136804819107,0.1569603830575943,1.1944166421890259,0.445,0.06,0.555,0.52,10.0,0.8142857142857142,0.4360769469865201,-0.010408163265306128,0.4489150106161833,0.05,0.8153571428571429,0.4484528159739965,-0.009336734693877555,0.4583587662037462,0.05,1.645,1.75,scratch,adaptive_random_to_low_10,200
9,1,0.495,0.99,0.935,0.935,4.39,4.46,4.53,0.08111201971769333,0.13473162055015564,1.0831867456436157,0.505,0.055,0.495,0.45,10.0,0.8059183673469389,0.4152067105611816,-0.01877551020408164,0.41961849211715163,0.05,0.8089285714285714,0.42904255818304954,-0.015765306122448988,0.43886702998541294,0.05,1.57,1.865,scratch,adaptive_random_to_low_10,200
10,1,0.475,0.99,0.92,0.9,3.8,4.46,4.56,0.15534716844558716,0.19720542430877686,1.1575313806533813,0.48,0.07,0.515,0.465,10.0,0.8195408163265308,0.48102244355132756,-0.005153061224489798,0.4734432998858392,0.05,0.8192857142857143,0.48599164158156744,-0.005408163265306129,0.4704780567716807,0.05,1.77,1.745,scratch,adaptive_random_to_low_10,200
11,1,0.48,0.99,0.94,0.9,3.89,4.46,4.51,0.13369129598140717,0.22873659431934357,1.0306845903396606,0.49,0.05,0.51,0.475,10.0,0.8042346938775509,0.41672201731710323,-0.020459183673469394,0.4368525562761352,0.05,0.8087755102040817,0.43559468759039127,-0.01591836734693878,0.4483434095326811,0.05,1.48,1.925,scratch,adaptive_random_to_low_10,200
