seed,initialization,method,epoch,active_method,favorable,diagnostic_seconds,teacher_full_image_passes,teacher_98_image_passes,kl_gain,true_logp_gain,flip_gain
1,scratch,adaptive_random_to_low_10,10,random_rescue_10,True,3.7799270728137344,200,1200,0.008353739976882935,0.008427530527114868,0.0033333338797092438
1,scratch,adaptive_random_to_low_10,20,random_rescue_10,True,3.821659195004031,0,1200,0.0168675035238266,0.021303042769432068,0.004999998956918716
1,scratch,adaptive_random_to_low_10,30,random_rescue_10,False,3.8194290520623326,0,1200,0.00045483559370040894,-0.0011352896690368652,0.0016666650772094727
1,scratch,adaptive_random_to_low_10,40,random_rescue_10,True,3.9006773489527404,0,1200,0.009876452386379242,0.0055812448263168335,0.010000001639127731
1,scratch,adaptive_random_to_low_10,50,random_rescue_10,True,3.759947903919965,0,1200,0.011332675814628601,0.010671988129615784,0.0
2,scratch,adaptive_random_to_low_10,10,random_rescue_10,False,3.841511497972533,200,1200,-0.019405052065849304,-0.019701749086380005,-0.011666662991046906
2,scratch,adaptive_random_to_low_10,20,random_rescue_10,True,3.7678018109872937,0,1200,0.03862079977989197,0.041605859994888306,0.00833333283662796
2,scratch,adaptive_random_to_low_10,30,random_rescue_10,True,3.866867783945054,0,1200,0.0010271072387695312,0.00014513731002807617,0.0
2,scratch,adaptive_random_to_low_10,40,random_rescue_10,True,3.8363044490106404,0,1200,0.010781943798065186,0.013730734586715698,0.0016666650772094727
