seed,initialization,method,epoch,lr,active_method,val_macro_accuracy,val_accuracy,train_loss,optimizer_updates,train_seconds,epoch_seconds_with_probe,swaps,added_foreground,removed_foreground
1,scratch,adaptive_random_to_low_10,1,0.0001,random_rescue_10,0.30100000000000005,0.301,1.8456376953125,47,98.10208045714535,114.20373856299557,10.0,1.6726666666666667,1.904
1,scratch,adaptive_random_to_low_10,2,0.0002,random_rescue_10,0.304,0.304,1.7517682552337646,47,100.37686501001008,117.21197176584974,10.0,1.6543333333333334,1.8998333333333333
1,scratch,adaptive_random_to_low_10,3,0.00030000000000000003,random_rescue_10,0.331,0.331,1.704283297220866,47,96.46202977513894,112.77709179185331,10.0,1.6921666666666666,1.911
1,scratch,adaptive_random_to_low_10,4,0.0004,random_rescue_10,0.342,0.342,1.6687453810373942,47,96.8664524469059,112.87236072588712,10.0,1.609,1.9673333333333334
1,scratch,adaptive_random_to_low_10,5,0.0005,random_rescue_10,0.37,0.37,1.6242901964187622,47,97.78051766916178,113.85686598299071,10.0,1.651,1.9078333333333333
1,scratch,adaptive_random_to_low_10,6,0.0005,random_rescue_10,0.396,0.396,1.5795980033874513,47,97.02650134800933,113.00941078015603,10.0,1.6525,1.908
1,scratch,adaptive_random_to_low_10,7,0.0004998606701506985,random_rescue_10,0.438,0.438,1.5020242109298707,47,96.84087903704494,113.04997945507057,10.0,1.6025,1.9618333333333333
1,scratch,adaptive_random_to_low_10,8,0.0004994428362164767,random_rescue_10,0.45200000000000007,0.452,1.420154203414917,47,96.10114405793138,111.9947662060149,10.0,1.6035,1.963
1,scratch,adaptive_random_to_low_10,9,0.0004987469648645818,random_rescue_10,0.49700000000000005,0.497,1.3605547103881837,47,96.01807168195955,112.19213348301128,10.0,1.5746666666666667,1.9921666666666666
1,scratch,adaptive_random_to_low_10,10,0.0004977738332946176,random_rescue_10,0.4800000000000001,0.48,1.2789040857950846,47,97.54575857892632,117.40743470098823,10.0,1.6046666666666667,1.9325
1,scratch,adaptive_random_to_low_10,11,0.0004965245283705121,random_rescue_10,0.521,0.521,1.2476366678873698,47,96.66186870099045,112.88515584799461,10.0,1.691,1.8768333333333334
1,scratch,adaptive_random_to_low_10,12,0.0004950004454066284,random_rescue_10,0.508,0.508,1.2001978079477946,47,97.09098909492604,113.16841555899009,10.0,1.6495,1.9455
1,scratch,adaptive_random_to_low_10,13,0.0004932032866093767,random_rescue_10,0.522,0.522,1.1950620028177896,47,97.34664694895037,113.47501774714328,10.0,1.7071666666666667,1.8505
1,scratch,adaptive_random_to_low_10,14,0.000491135059176067,random_rescue_10,0.5329999999999999,0.533,1.133800906499227,47,96.6267791101709,112.70199456484988,10.0,1.6125,1.9535
1,scratch,adaptive_random_to_low_10,15,0.0004887980730531247,random_rescue_10,0.549,0.549,1.113019788424174,47,96.11148138693534,112.26983849611133,10.0,1.5791666666666666,1.9695
1,scratch,adaptive_random_to_low_10,16,0.00048619493835617576,random_rescue_10,0.579,0.579,1.0712507902781168,47,96.07979807001539,112.18181373993866,10.0,1.5201666666666667,2.0536666666666665
