seed,initialization,method,epoch,mask,repeat,teacher_accuracy,teacher_full_accuracy,kl,full_correct_to_wrong,background_ratio,foreground_missing,swaps
1,scratch,random_low_mixed_10,0,foreground_rescue_10,0,0.945,0.99,0.107118405,0.045,0.7480612244897958,0.15916616481303753,6.175
1,scratch,random_low_mixed_10,0,low_score_rescue_10,0,0.94,0.99,0.09771113,0.05,0.8106122448979591,0.42240870464704317,10.0
1,scratch,random_low_mixed_10,0,random_matched,0,0.915,0.99,0.14928024,0.075,0.8096428571428572,0.415723160442607,6.175
1,scratch,random_low_mixed_10,50,student,0,0.945,0.99,0.12128431,0.045,0.8004081632653062,0.3866357233404243,0.0
1,scratch,random_low_mixed_10,50,random,0,0.965,0.99,0.056922186,0.025,0.8246938775510205,0.48994748795493875,0.0
1,scratch,random_low_mixed_10,50,random_rescue_10,0,0.945,0.99,0.097213745,0.045,0.8039795918367347,0.41506337221348116,10.0
1,scratch,random_low_mixed_10,50,foreground_rescue_10,0,0.96,0.99,0.10556593,0.03,0.7359183673469388,0.12624352896674362,6.32
1,scratch,random_low_mixed_10,50,low_score_rescue_10,0,0.945,0.99,0.09992985,0.045,0.8011734693877551,0.3948985164625025,10.0
1,scratch,random_low_mixed_10,50,random_matched,0,0.95,0.99,0.10903137,0.04,0.8025510204081633,0.39481769704536374,6.32
1,scratch,random_low_mixed_10,51,student,0,0.955,0.99,0.09074607,0.035,0.7991326530612244,0.38337542659377966,0.0
1,scratch,random_low_mixed_10,51,random,0,0.965,0.99,0.056922186,0.025,0.8246938775510205,0.48994748795493875,0.0
1,scratch,random_low_mixed_10,51,random_rescue_10,0,0.935,0.99,0.09513634,0.055,0.8039285714285714,0.40919428180773737,10.0
1,scratch,random_low_mixed_10,51,foreground_rescue_10,0,0.965,0.99,0.085425,0.025,0.7353061224489795,0.1288362716977362,6.255
1,scratch,random_low_mixed_10,51,low_score_rescue_10,0,0.96,0.99,0.07254997,0.03,0.7985714285714286,0.379108125227638,10.0
1,scratch,random_low_mixed_10,51,random_matched,0,0.955,0.99,0.09677014,0.035,0.8000510204081632,0.38531402131295384,6.255
1,scratch,random_low_mixed_10,70,student,0,0.92,0.99,0.1579693,0.07,0.8059693877551021,0.4159915461912313,0.0
1,scratch,random_low_mixed_10,70,random,0,0.965,0.99,0.056922186,0.025,0.8246938775510205,0.48994748795493875,0.0
1,scratch,random_low_mixed_10,70,random_rescue_10,0,0.935,0.99,0.10288529,0.055,0.8091836734693877,0.4335446900295559,10.0
1,scratch,random_low_mixed_10,70,foreground_rescue_10,0,0.96,0.99,0.08841393,0.03,0.738112244897959,0.1337509058708341,6.65
1,scratch,random_low_mixed_10,70,low_score_rescue_10,0,0.945,0.99,0.08121939,0.045,0.8055102040816327,0.41641562042591534,10.0
1,scratch,random_low_mixed_10,70,random_matched,0,0.925,0.99,0.17068183,0.065,0.8078061224489795,0.4205323092176039,6.65
1,scratch,random_low_mixed_10,71,student,0,0.925,0.99,0.13989572,0.065,0.797295918367347,0.38594253488121316,0.0
1,scratch,random_low_mixed_10,71,random,0,0.965,0.99,0.056922186,0.025,0.8246938775510205,0.48994748795493875,0.0
1,scratch,random_low_mixed_10,71,random_rescue_10,0,0.935,0.99,0.13154869,0.055,0.8028061224489796,0.4127690885242213,10.0
1,scratch,random_low_mixed_10,71,foreground_rescue_10,0,0.94,0.99,0.08572722,0.05,0.7329081632653062,0.12344675566668041,6.31
1,scratch,random_low_mixed_10,71,low_score_rescue_10,0,0.945,0.99,0.09052601,0.045,0.7985714285714286,0.3910244254572394,10.0
1,scratch,random_low_mixed_10,71,random_matched,0,0.915,0.99,0.14530988,0.075,0.8,0.389229334247659,6.31
1,scratch,random_low_mixed_10,100,student,0,0.93,0.99,0.09701185,0.06,0.8020408163265306,0.3934894316672539,0.0
1,scratch,random_low_mixed_10,100,random,0,0.965,0.99,0.056922186,0.025,0.8246938775510205,0.48994748795493875,0.0
1,scratch,random_low_mixed_10,100,random_rescue_10,0,0.91,0.99,0.13008143,0.08,0.8083673469387755,0.4234676622836346,10.0
1,scratch,random_low_mixed_10,100,foreground_rescue_10,0,0.965,0.99,0.074512154,0.025,0.7361734693877551,0.12685927362859858,6.455
1,scratch,random_low_mixed_10,100,low_score_rescue_10,0,0.955,0.99,0.056461763,0.035,0.8004081632653062,0.39428725043259377,10.0
1,scratch,random_low_mixed_10,100,random_matched,0,0.94,0.99,0.08270789,0.05,0.8051020408163265,0.4026807280418256,6.455
1,scratch,random_rescue_to_low_70,0,student,0,0.92,0.99,0.14443268,0.07,0.8110714285714287,0.4192008084694095,0.0
1,scratch,random_rescue_to_low_70,0,random,0,0.965,0.99,0.056922186,0.025,0.8246938775510205,0.48994748795493875,0.0
1,scratch,random_rescue_to_low_70,0,random_rescue_10,0,0.93,0.99,0.14620258,0.06,0.8135204081632653,0.42994755365076703,10.0
1,scratch,random_rescue_to_low_70,0,foreground_rescue_10,0,0.945,0.99,0.107118405,0.045,0.7480612244897958,0.15916616481303753,6.175
1,scratch,random_rescue_to_low_70,0,low_score_rescue_10,0,0.94,0.99,0.09771113,0.05,0.8106122448979591,0.42240870464704317,10.0
1,scratch,random_rescue_to_low_70,0,random_matched,0,0.915,0.99,0.14928024,0.075,0.8096428571428572,0.415723160442607,6.175
1,scratch,random_rescue_to_low_70,50,student,0,0.945,0.99,0.12128431,0.045,0.8004081632653062,0.3866357233404243,0.0
1,scratch,random_rescue_to_low_70,50,random,0,0.965,0.99,0.056922186,0.025,0.8246938775510205,0.48994748795493875,0.0
1,scratch,random_rescue_to_low_70,50,random_rescue_10,0,0.945,0.99,0.097213745,0.045,0.8039795918367347,0.41506337221348116,10.0
1,scratch,random_rescue_to_low_70,50,foreground_rescue_10,0,0.96,0.99,0.10556593,0.03,0.7359183673469388,0.12624352896674362,6.32
1,scratch,random_rescue_to_low_70,50,low_score_rescue_10,0,0.945,0.99,0.09992985,0.045,0.8011734693877551,0.3948985164625025,10.0
1,scratch,random_rescue_to_low_70,50,random_matched,0,0.95,0.99,0.10903137,0.04,0.8025510204081633,0.39481769704536374,6.32
1,scratch,random_rescue_to_low_70,51,student,0,0.935,0.99,0.13089669,0.055,0.8006122448979593,0.3836263256995355,0.0
1,scratch,random_rescue_to_low_70,51,random,0,0.965,0.99,0.056922186,0.025,0.8246938775510205,0.48994748795493875,0.0
1,scratch,random_rescue_to_low_70,51,random_rescue_10,0,0.93,0.99,0.11028681,0.06,0.8047448979591837,0.4099985706098338,10.0
1,scratch,random_rescue_to_low_70,51,foreground_rescue_10,0,0.955,0.99,0.09677062,0.035,0.7376530612244898,0.13361143250238006,6.17
1,scratch,random_rescue_to_low_70,51,low_score_rescue_10,0,0.945,0.99,0.07909264,0.045,0.7995918367346938,0.3731402953820112,10.0
1,scratch,random_rescue_to_low_70,51,random_matched,0,0.935,0.99,0.12350729,0.055,0.8037244897959184,0.3892006031444945,6.17
1,scratch,random_rescue_to_low_70,70,student,0,0.935,0.99,0.13198669,0.055,0.8035714285714286,0.41127729018785425,0.0
1,scratch,random_rescue_to_low_70,70,random,0,0.965,0.99,0.056922186,0.025,0.8246938775510205,0.48994748795493875,0.0
1,scratch,random_rescue_to_low_70,70,random_rescue_10,0,0.93,0.99,0.13254574,0.06,0.8080612244897958,0.43878907956083796,10.0
1,scratch,random_rescue_to_low_70,70,foreground_rescue_10,0,0.96,0.99,0.084494,0.03,0.7366836734693877,0.12921697451288186,6.555
1,scratch,random_rescue_to_low_70,70,low_score_rescue_10,0,0.95,0.99,0.09501938,0.04,0.8006632653061224,0.4024925877517567,10.0
1,scratch,random_rescue_to_low_70,70,random_matched,0,0.93,0.99,0.14818783,0.06,0.805969387755102,0.408698898533644,6.555
1,scratch,random_rescue_to_low_70,71,student,0,0.94,0.99,0.11043042,0.05,0.7949489795918367,0.3917848465621275,0.0
1,scratch,random_rescue_to_low_70,71,random,0,0.965,0.99,0.056922186,0.025,0.8246938775510205,0.48994748795493875,0.0
1,scratch,random_rescue_to_low_70,71,random_rescue_10,0,0.945,0.99,0.09860958,0.045,0.7993877551020409,0.4075387529096395,10.0
1,scratch,random_rescue_to_low_70,71,foreground_rescue_10,0,0.96,0.99,0.092037275,0.03,0.7300510204081633,0.11610941961757135,6.36
1,scratch,random_rescue_to_low_70,71,low_score_rescue_10,0,0.96,0.99,0.056990936,0.03,0.7954591836734692,0.3989485547004054,10.0
1,scratch,random_rescue_to_low_70,71,random_matched,0,0.945,0.99,0.098703496,0.045,0.7990306122448979,0.3984066930163748,6.36
1,scratch,random_rescue_to_low_70,100,student,0,0.935,0.99,0.15322544,0.055,0.8004081632653062,0.39190031689062693,0.0
1,scratch,random_rescue_to_low_70,100,random,0,0.965,0.99,0.056922186,0.025,0.8246938775510205,0.48994748795493875,0.0
1,scratch,random_rescue_to_low_70,100,random_rescue_10,0,0.94,0.99,0.096257135,0.05,0.8034183673469387,0.40883495292729016,10.0
1,scratch,random_rescue_to_low_70,100,foreground_rescue_10,0,0.96,0.99,0.10180619,0.03,0.7349489795918367,0.12331375975800514,6.415
1,scratch,random_rescue_to_low_70,100,low_score_rescue_10,0,0.945,0.99,0.12656793,0.045,0.7992346938775509,0.39503323131887863,10.0
1,scratch,random_rescue_to_low_70,100,random_matched,0,0.93,0.99,0.13772947,0.06,0.8025,0.38935264092235145,6.415
2,scratch,adaptive_random_to_low_10,0,student,0,0.85,0.965,0.35167298,0.125,0.8288265306122449,0.5289082416411598,0.0
2,scratch,adaptive_random_to_low_10,0,random,0,0.94,0.965,0.09405363,0.035,0.8246938775510205,0.48994748795493875,0.0
2,scratch,adaptive_random_to_low_10,0,random_rescue_10,0,0.91,0.965,0.22477701,0.07,0.8279591836734693,0.5297952212841659,10.0
2,scratch,adaptive_random_to_low_10,0,foreground_rescue_10,0,0.93,0.965,0.11801019,0.04,0.7564285714285713,0.19589938736602122,7.095
2,scratch,adaptive_random_to_low_10,0,low_score_rescue_10,0,0.905,0.965,0.26826248,0.07,0.8264795918367347,0.5194992970738067,10.0
2,scratch,adaptive_random_to_low_10,0,random_matched,0,0.895,0.965,0.2568129,0.08,0.8270408163265307,0.5196950702616964,7.095
2,scratch,adaptive_random_to_low_10,50,student,0,0.91,0.965,0.15810008,0.055,0.8169897959183673,0.481155787804265,0.0
2,scratch,adaptive_random_to_low_10,50,random,0,0.94,0.965,0.09405363,0.035,0.8246938775510205,0.48994748795493875,0.0
2,scratch,adaptive_random_to_low_10,50,random_rescue_10,0,0.91,0.965,0.19341926,0.06,0.8201020408163265,0.49093875998773717,10.0
2,scratch,adaptive_random_to_low_10,50,foreground_rescue_10,0,0.94,0.965,0.08845548,0.025,0.7463265306122449,0.1619698364445406,6.925
2,scratch,adaptive_random_to_low_10,50,low_score_rescue_10,0,0.9,0.965,0.17579798,0.065,0.8155102040816327,0.47998466567704323,10.0
2,scratch,adaptive_random_to_low_10,50,random_matched,0,0.915,0.965,0.14047676,0.05,0.818265306122449,0.48271023882394615,6.925
2,scratch,adaptive_random_to_low_10,51,student,0,0.885,0.965,0.2726507,0.085,0.8221938775510205,0.48757820728977513,0.0
2,scratch,adaptive_random_to_low_10,51,random,0,0.94,0.965,0.09405363,0.035,0.8246938775510205,0.48994748795493875,0.0
2,scratch,adaptive_random_to_low_10,51,random_rescue_10,0,0.915,0.965,0.1568275,0.05,0.825,0.4929694310687274,10.0
2,scratch,adaptive_random_to_low_10,51,foreground_rescue_10,0,0.93,0.965,0.11277819,0.035,0.7503061224489797,0.16576208452754793,7.045
2,scratch,adaptive_random_to_low_10,51,low_score_rescue_10,0,0.93,0.965,0.16152757,0.045,0.8207653061224491,0.4784079986415305,10.0
2,scratch,adaptive_random_to_low_10,51,random_matched,0,0.93,0.965,0.15374646,0.04,0.8219897959183673,0.4904310471628516,7.045
2,scratch,adaptive_random_to_low_10,70,student,0,0.91,0.965,0.17328535,0.06,0.8140816326530613,0.46448098244734337,0.0
2,scratch,adaptive_random_to_low_10,70,random,0,0.94,0.965,0.09405363,0.035,0.8246938775510205,0.48994748795493875,0.0
2,scratch,adaptive_random_to_low_10,70,random_rescue_10,0,0.91,0.965,0.1751936,0.06,0.8180102040816328,0.47503481026359845,10.0
2,scratch,adaptive_random_to_low_10,70,foreground_rescue_10,0,0.94,0.965,0.100881845,0.03,0.7438775510204081,0.15764158566622474,6.88
2,scratch,adaptive_random_to_low_10,70,low_score_rescue_10,0,0.94,0.965,0.11982416,0.035,0.8111224489795918,0.44553818630715664,10.0
2,scratch,adaptive_random_to_low_10,70,random_matched,0,0.92,0.965,0.13787907,0.05,0.814387755102041,0.4637538353871614,6.88
2,scratch,adaptive_random_to_low_10,71,student,0,0.91,0.965,0.187068,0.06,0.8177551020408163,0.4787876277702385,0.0
2,scratch,adaptive_random_to_low_10,71,random,0,0.94,0.965,0.09405363,0.035,0.8246938775510205,0.48994748795493875,0.0
2,scratch,adaptive_random_to_low_10,71,random_rescue_10,0,0.92,0.965,0.177962,0.055,0.820204081632653,0.4890405142506764,10.0
2,scratch,adaptive_random_to_low_10,71,foreground_rescue_10,0,0.945,0.965,0.078709744,0.02,0.7469387755102039,0.16402200856688837,6.94
2,scratch,adaptive_random_to_low_10,71,low_score_rescue_10,0,0.935,0.965,0.12364319,0.035,0.8143367346938776,0.46272949859840395,10.0
2,scratch,adaptive_random_to_low_10,71,random_matched,0,0.925,0.965,0.1529207,0.045,0.8155102040816327,0.4647831434978417,6.94
2,scratch,adaptive_random_to_low_10,100,student,0,0.905,0.965,0.16767564,0.065,0.8092346938775511,0.4576278139596931,0.0
2,scratch,adaptive_random_to_low_10,100,random,0,0.94,0.965,0.09405363,0.035,0.8246938775510205,0.48994748795493875,0.0
2,scratch,adaptive_random_to_low_10,100,random_rescue_10,0,0.92,0.965,0.15222368,0.05,0.8125510204081633,0.46313171673813575,10.0
2,scratch,adaptive_random_to_low_10,100,foreground_rescue_10,0,0.935,0.965,0.09575426,0.035,0.740204081632653,0.14993237977659615,6.765
2,scratch,adaptive_random_to_low_10,100,low_score_rescue_10,0,0.94,0.965,0.15490617,0.035,0.8061224489795918,0.44278886468066403,10.0
2,scratch,adaptive_random_to_low_10,100,random_matched,0,0.93,0.965,0.15697914,0.04,0.8102551020408163,0.456996017990217,6.765
