seed,initialization,method,epoch,mask,repeat,teacher_accuracy,teacher_full_accuracy,kl,full_correct_to_wrong,background_ratio,foreground_missing,swaps
0,imagenet,ce,10,foreground_rescue_10,1,0.965,0.98,0.060224973,0.02,0.6773469387755102,0.025857943921759784,2.75
0,imagenet,ce,10,foreground_rescue_10,2,0.96,0.98,0.079751655,0.025,0.6773469387755102,0.025857943921759784,2.75
0,imagenet,ce,10,foreground_rescue_10,3,0.955,0.98,0.0802584,0.03,0.6773469387755102,0.025857943921759784,2.75
0,imagenet,ce,10,foreground_rescue_10,4,0.955,0.98,0.06608632,0.03,0.6773469387755102,0.025857943921759784,2.75
0,imagenet,ce,10,low_score_rescue_10,0,0.945,0.98,0.09068374,0.04,0.7117857142857141,0.0974540645249796,10.0
0,imagenet,ce,10,low_score_rescue_10,1,0.945,0.98,0.09724228,0.04,0.712295918367347,0.09831514471709431,10.0
0,imagenet,ce,10,low_score_rescue_10,2,0.95,0.98,0.091100976,0.035,0.7116326530612246,0.09825617758891132,10.0
0,imagenet,ce,10,low_score_rescue_10,3,0.945,0.98,0.09269806,0.035,0.7117857142857144,0.09827458932631793,10.0
0,imagenet,ce,10,low_score_rescue_10,4,0.95,0.98,0.09794483,0.035,0.7108163265306122,0.0968480418781382,10.0
0,imagenet,ce,10,random_matched,0,0.96,0.98,0.07005597,0.025,0.715408163265306,0.10075986092372732,2.75
0,imagenet,ce,10,random_matched,1,0.955,0.98,0.07844166,0.03,0.7155612244897958,0.10177737484600581,2.75
0,imagenet,ce,10,random_matched,2,0.96,0.98,0.065801054,0.025,0.714795918367347,0.09979579905380341,2.75
0,imagenet,ce,10,random_matched,3,0.955,0.98,0.08546059,0.03,0.7156122448979592,0.10246383892224988,2.75
0,imagenet,ce,10,random_matched,4,0.955,0.98,0.083657056,0.03,0.7146428571428572,0.09937446950486858,2.75
0,imagenet,ce,25,student,0,0.945,0.98,0.08596955,0.035,0.7075510204081632,0.0908596502513223,0.0
0,imagenet,ce,25,student,1,0.945,0.98,0.08596955,0.035,0.7075510204081632,0.0908596502513223,0.0
0,imagenet,ce,25,student,2,0.945,0.98,0.08596955,0.035,0.7075510204081632,0.0908596502513223,0.0
0,imagenet,ce,25,student,3,0.945,0.98,0.08596955,0.035,0.7075510204081632,0.0908596502513223,0.0
0,imagenet,ce,25,student,4,0.945,0.98,0.08596955,0.035,0.7075510204081632,0.0908596502513223,0.0
0,imagenet,ce,25,random,0,0.95,0.98,0.07085513,0.03,0.8246938775510205,0.48994748795493875,0.0
0,imagenet,ce,25,random,1,0.965,0.98,0.06002661,0.02,0.8235204081632653,0.4946262972715817,0.0
0,imagenet,ce,25,random,2,0.945,0.98,0.086035594,0.035,0.8219387755102041,0.47777470733476307,0.0
0,imagenet,ce,25,random,3,0.93,0.98,0.11281219,0.05,0.822857142857143,0.4756299304983063,0.0
0,imagenet,ce,25,random,4,0.945,0.98,0.12285635,0.04,0.8268877551020407,0.5175266882325791,0.0
0,imagenet,ce,25,random_rescue_10,0,0.955,0.98,0.090954244,0.025,0.7308673469387754,0.18001297884163736,10.0
0,imagenet,ce,25,random_rescue_10,1,0.945,0.98,0.09554368,0.035,0.7325510204081632,0.1698949971384164,10.0
0,imagenet,ce,25,random_rescue_10,2,0.96,0.98,0.07305028,0.025,0.7332142857142857,0.16923068529443794,10.0
0,imagenet,ce,25,random_rescue_10,3,0.955,0.98,0.068748906,0.03,0.7307653061224488,0.16511223458702884,10.0
0,imagenet,ce,25,random_rescue_10,4,0.93,0.98,0.12560782,0.05,0.7313265306122448,0.17301057175081053,10.0
0,imagenet,ce,25,foreground_rescue_10,0,0.945,0.98,0.08905892,0.035,0.6778061224489795,0.02683701320207757,2.915
0,imagenet,ce,25,foreground_rescue_10,1,0.945,0.98,0.08827307,0.035,0.6778061224489795,0.02683701320207757,2.915
0,imagenet,ce,25,foreground_rescue_10,2,0.945,0.98,0.08440569,0.035,0.6778061224489795,0.02683701320207757,2.915
0,imagenet,ce,25,foreground_rescue_10,3,0.945,0.98,0.08302827,0.035,0.6778061224489795,0.02683701320207757,2.915
0,imagenet,ce,25,foreground_rescue_10,4,0.945,0.98,0.072976544,0.035,0.6778061224489795,0.02683701320207757,2.915
0,imagenet,ce,25,low_score_rescue_10,0,0.945,0.98,0.09042313,0.035,0.715204081632653,0.10459234495558105,10.0
0,imagenet,ce,25,low_score_rescue_10,1,0.94,0.98,0.09425967,0.04,0.7151020408163266,0.10468311373087948,10.0
0,imagenet,ce,25,low_score_rescue_10,2,0.95,0.98,0.08343708,0.03,0.7147448979591837,0.10432606651751018,10.0
0,imagenet,ce,25,low_score_rescue_10,3,0.945,0.98,0.08381445,0.035,0.7142857142857143,0.103872256142854,10.0
0,imagenet,ce,25,low_score_rescue_10,4,0.95,0.98,0.088529915,0.03,0.7156122448979592,0.10550363597218021,10.0
0,imagenet,ce,25,random_matched,0,0.95,0.98,0.084371895,0.03,0.7180102040816326,0.10826040474668772,2.915
0,imagenet,ce,25,random_matched,1,0.95,0.98,0.08746748,0.03,0.717295918367347,0.10735331361846472,2.915
0,imagenet,ce,25,random_matched,2,0.945,0.98,0.08908959,0.035,0.717704081632653,0.10758096064196854,2.915
0,imagenet,ce,25,random_matched,3,0.945,0.98,0.08641607,0.035,0.7181122448979592,0.10839830865685579,2.915
0,imagenet,ce,25,random_matched,4,0.95,0.98,0.08055636,0.03,0.716734693877551,0.10723748949580111,2.915
0,imagenet,ce,50,student,0,0.94,0.98,0.09596333,0.045,0.7120408163265307,0.09597790557025924,0.0
0,imagenet,ce,50,student,1,0.94,0.98,0.09596333,0.045,0.7120408163265307,0.09597790557025924,0.0
0,imagenet,ce,50,student,2,0.94,0.98,0.09596333,0.045,0.7120408163265307,0.09597790557025924,0.0
0,imagenet,ce,50,student,3,0.94,0.98,0.09596333,0.045,0.7120408163265307,0.09597790557025924,0.0
0,imagenet,ce,50,student,4,0.94,0.98,0.09596333,0.045,0.7120408163265307,0.09597790557025924,0.0
0,imagenet,ce,50,random,0,0.95,0.98,0.07085513,0.03,0.8246938775510205,0.48994748795493875,0.0
0,imagenet,ce,50,random,1,0.965,0.98,0.06002661,0.02,0.8235204081632653,0.4946262972715817,0.0
0,imagenet,ce,50,random,2,0.945,0.98,0.086035594,0.035,0.8219387755102041,0.47777470733476307,0.0
0,imagenet,ce,50,random,3,0.93,0.98,0.11281219,0.05,0.822857142857143,0.4756299304983063,0.0
0,imagenet,ce,50,random,4,0.945,0.98,0.12285635,0.04,0.8268877551020407,0.5175266882325791,0.0
0,imagenet,ce,50,random_rescue_10,0,0.935,0.98,0.13180052,0.05,0.7346428571428573,0.17656054598552784,10.0
0,imagenet,ce,50,random_rescue_10,1,0.945,0.98,0.09746995,0.04,0.7361734693877551,0.18285807944377155,10.0
0,imagenet,ce,50,random_rescue_10,2,0.94,0.98,0.09107059,0.045,0.7346428571428573,0.16899768172312776,10.0
0,imagenet,ce,50,random_rescue_10,3,0.955,0.98,0.068747684,0.03,0.7344387755102041,0.16866423306818762,10.0
