epoch,seed,student_correct,teacher_full_correct,teacher_masked_correct,teacher_raw_correct,student_prediction,teacher_prediction,teacher_masked_prediction,teacher_mask_kl,teacher_raw_kl,teacher_student_kl,prediction_agreement,teacher_flip,correction_opportunity,correction_signal_preserved,swaps,raw_background_ratio,raw_foreground_missing,raw_background_excess_vs_area,raw_foreground_area_missing,raw_zero_foreground,actual_background_ratio,actual_foreground_missing,actual_background_excess_vs_area,actual_foreground_area_missing,actual_zero_foreground,added_foreground,removed_foreground,initialization,method,n_probe
0,0,0.085,0.985,0.985,0.865,5.92,4.445,4.445,0.0,0.3494100272655487,1.8246694803237915,0.09,0.0,0.9,0.9,0.0,0.850561224489796,0.5981794121635886,0.025867346938775508,0.5913978515937924,0.05,0.8246938775510203,0.0,0.0,0.0,0.05,19.715,0.0,scratch,full,200
1,0,0.255,0.985,0.985,0.915,5.02,4.445,4.445,0.0,0.15900126099586487,1.543009638786316,0.255,0.0,0.73,0.73,0.0,0.8163265306122449,0.43395659595312164,-0.008367346938775515,0.43931676695094213,0.05,0.8246938775510203,0.0,0.0,0.0,0.05,16.36,0.0,scratch,full,200
2,0,0.295,0.985,0.985,0.93,4.515,4.445,4.445,0.0,0.13808120787143707,1.4230250120162964,0.3,0.0,0.69,0.69,0.0,0.8256632653061224,0.4704115213414031,0.0009693877551020364,0.464343972116767,0.05,0.8246938775510203,0.0,0.0,0.0,0.05,17.275,0.0,scratch,full,200
3,0,0.385,0.985,0.985,0.935,4.11,4.445,4.445,0.0,0.11940030753612518,1.3609161376953125,0.39,0.0,0.6,0.6,0.0,0.8130102040816327,0.4179274891901726,-0.011683673469387756,0.41517095755712946,0.05,0.8246938775510203,0.0,0.0,0.0,0.05,16.035,0.0,scratch,full,200
4,0,0.375,0.985,0.985,0.93,4.455,4.445,4.445,0.0,0.1553737074136734,1.4531642198562622,0.38,0.0,0.61,0.61,0.0,0.8411224489795919,0.49814469849855136,0.016428571428571424,0.4917504369674134,0.05,0.8246938775510203,0.0,0.0,0.0,0.05,18.79,0.0,scratch,full,200
5,0,0.41,0.985,0.985,0.92,4.385,4.445,4.445,0.0,0.1615666002035141,1.305353045463562,0.415,0.0,0.575,0.575,0.0,0.8219897959183675,0.48288499546832153,-0.0027040816326530663,0.47614047592389397,0.05,0.8246938775510203,0.0,0.0,0.0,0.05,16.915,0.0,scratch,full,200
6,0,0.465,0.985,0.985,0.945,4.815,4.445,4.445,0.0,0.11830049753189087,1.2405954599380493,0.47,0.0,0.52,0.52,0.0,0.8206122448979594,0.48287189837015043,-0.004081632653061228,0.4784758219262585,0.05,0.8246938775510203,0.0,0.0,0.0,0.05,16.78,0.0,scratch,full,200
7,0,0.45,0.985,0.985,0.95,4.635,4.445,4.445,0.0,0.09732038527727127,1.158176064491272,0.46,0.0,0.535,0.535,0.0,0.7884693877551021,0.3642937528412229,-0.03622448979591837,0.3781179612176493,0.05,0.8246938775510203,0.0,0.0,0.0,0.05,13.63,0.0,scratch,full,200
8,0,0.485,0.985,0.985,0.95,4.79,4.445,4.445,0.0,0.08560623228549957,1.1761163473129272,0.495,0.0,0.5,0.5,0.0,0.793265306122449,0.3830374869960815,-0.03142857142857143,0.38613662840798496,0.05,0.8246938775510203,0.0,0.0,0.0,0.05,14.1,0.0,scratch,full,200
9,0,0.465,0.985,0.985,0.955,4.97,4.445,4.445,0.0,0.06191359460353851,1.1073124408721924,0.475,0.0,0.52,0.52,0.0,0.7837755102040816,0.3582649611705731,-0.04091836734693878,0.3703116410446819,0.05,0.8246938775510203,0.0,0.0,0.0,0.05,13.17,0.0,scratch,full,200
10,0,0.485,0.985,0.985,0.95,5.205,4.445,4.445,0.0,0.12022410333156586,1.1054084300994873,0.485,0.0,0.505,0.505,0.0,0.8162244897959183,0.48035812764540614,-0.008469387755102038,0.46954412081744523,0.05,0.8246938775510203,0.0,0.0,0.0,0.05,16.35,0.0,scratch,full,200
11,0,0.505,0.985,0.985,0.96,5.645,4.445,4.445,0.0,0.11084781587123871,1.116693377494812,0.51,0.0,0.48,0.48,0.0,0.8147448979591837,0.44956811041032674,-0.00994897959183674,0.4418967577628791,0.05,0.8246938775510203,0.0,0.0,0.0,0.05,16.205,0.0,scratch,full,200
12,0,0.53,0.985,0.985,0.935,4.17,4.445,4.445,0.0,0.1296571046113968,1.0163055658340454,0.54,0.0,0.455,0.455,0.0,0.805561224489796,0.414226369175768,-0.01913265306122449,0.4241753115027677,0.05,0.8246938775510203,0.0,0.0,0.0,0.05,15.305,0.0,scratch,full,200
13,0,0.495,0.985,0.985,0.96,4.45,4.445,4.445,0.0,0.07370513677597046,1.086942434310913,0.495,0.0,0.495,0.495,0.0,0.8176020408163265,0.4880231650980046,-0.007091836734693872,0.4837456491024932,0.05,0.8246938775510203,0.0,0.0,0.0,0.05,16.485,0.0,scratch,full,200
14,0,0.5,0.985,0.985,0.955,4.275,4.445,4.445,0.0,0.05810534581542015,1.0322935581207275,0.515,0.0,0.485,0.485,0.0,0.8140816326530611,0.44764691474733437,-0.01061224489795919,0.4463068967917934,0.05,0.8246938775510203,0.0,0.0,0.0,0.05,16.14,0.0,scratch,full,200
15,0,0.515,0.985,0.985,0.94,4.65,4.445,4.445,0.0,0.12144285440444946,1.0153836011886597,0.525,0.0,0.47,0.47,0.0,0.8133163265306124,0.43998494360033524,-0.011377551020408166,0.4491553945187479,0.05,0.8246938775510203,0.0,0.0,0.0,0.05,16.065,0.0,scratch,full,200
16,0,0.545,0.985,0.985,0.935,3.94,4.445,4.445,0.0,0.09858829528093338,1.0117229223251343,0.55,0.0,0.445,0.445,0.0,0.8245918367346938,0.504122033582883,-0.00010204081632653795,0.506179916432593,0.05,0.8246938775510203,0.0,0.0,0.0,0.05,17.17,0.0,scratch,full,200
17,0,0.55,0.985,0.985,0.92,4.36,4.445,4.445,0.0,0.1520506888628006,0.9946961998939514,0.56,0.0,0.435,0.435,0.0,0.8264285714285714,0.5378863846915232,0.0017346938775510163,0.52802044976037,0.05,0.8246938775510203,0.0,0.0,0.0,0.05,17.35,0.0,scratch,full,200
