initialization,checkpoint,method,reference,metric,n_seeds,mean_difference_pp,ci_low_pp,ci_high_pp,seed_differences_pp,interpretation
scratch,best,full,student,macro_accuracy,1,1.79574929137728,,,"{""0"": 1.79574929137728}",exploratory paired t interval; n=3 insufficient for strong claims
scratch,best,random_rescue_10,student,macro_accuracy,1,3.7623560062322925,,,"{""0"": 3.7623560062322925}",exploratory paired t interval; n=3 insufficient for strong claims
scratch,best,full,student,accuracy,1,2.4390243902439046,,,"{""0"": 2.4390243902439046}",exploratory paired t interval; n=3 insufficient for strong claims
scratch,best,random_rescue_10,student,accuracy,1,3.564727954971858,,,"{""0"": 3.564727954971858}",exploratory paired t interval; n=3 insufficient for strong claims
scratch,last,full,student,macro_accuracy,1,1.0717115358149343,,,"{""0"": 1.0717115358149343}",exploratory paired t interval; n=3 insufficient for strong claims
scratch,last,random_rescue_10,student,macro_accuracy,1,2.9487592456757916,,,"{""0"": 2.9487592456757916}",exploratory paired t interval; n=3 insufficient for strong claims
scratch,last,full,student,accuracy,1,1.500938086303949,,,"{""0"": 1.500938086303949}",exploratory paired t interval; n=3 insufficient for strong claims
scratch,last,random_rescue_10,student,accuracy,1,2.814258911819889,,,"{""0"": 2.814258911819889}",exploratory paired t interval; n=3 insufficient for strong claims
