seed,initialization,method,epoch,lr,active_method,val_macro_accuracy,val_accuracy,train_loss,optimizer_updates,train_seconds,epoch_seconds_with_probe,swaps,added_foreground,removed_foreground
0,scratch,full,1,0.0001,full,0.259,0.259,1.8875900789896647,47,95.96679762983695,111.43612082209438,0.0,0.0,0.0
0,scratch,full,2,0.0002,full,0.325,0.325,1.781022679011027,47,97.62218552501872,113.69816152309068,0.0,0.0,0.0
0,scratch,full,3,0.00030000000000000003,full,0.36,0.36,1.741313643137614,47,95.4843973449897,111.05488617299125,0.0,0.0,0.0
0,scratch,full,4,0.0004,full,0.337,0.337,1.6932614199320475,47,93.65236706403084,109.24083236907609,0.0,0.0,0.0
0,scratch,full,5,0.0005,full,0.404,0.404,1.6543282712300618,47,94.14669015980326,109.68698590900749,0.0,0.0,0.0
0,scratch,full,6,0.0005,full,0.44699999999999995,0.447,1.5853851674397788,47,94.00996436201967,109.35274480795488,0.0,0.0,0.0
0,scratch,full,7,0.0004998606701506985,full,0.46699999999999997,0.467,1.4920603707631428,47,93.28120167786255,108.66594774997793,0.0,0.0,0.0
0,scratch,full,8,0.0004994428362164767,full,0.46799999999999997,0.468,1.4657482789357503,47,93.45266114291735,108.78767453599721,0.0,0.0,0.0
0,scratch,full,9,0.0004987469648645818,full,0.5050000000000001,0.505,1.3773672739664713,47,94.56790754501708,109.98445752100088,0.0,0.0,0.0
0,scratch,full,10,0.0004977738332946176,full,0.512,0.512,1.3151008990605673,47,94.47290443512611,116.83006387320347,0.0,0.0,0.0
0,scratch,full,11,0.0004965245283705121,full,0.493,0.493,1.2717740688323975,47,93.51065713493153,108.8870812850073,0.0,0.0,0.0
0,scratch,full,12,0.0004950004454066284,full,0.553,0.553,1.2239146757125854,47,93.89742089202628,109.21590306400321,0.0,0.0,0.0
0,scratch,full,13,0.0004932032866093767,full,0.54,0.54,1.1780963894526164,47,93.703674078919,108.93412929191254,0.0,0.0,0.0
