seed,teacher,method,last_macro_accuracy,best_macro_accuracy,delta_vs_masked_pp,base_minus_small_pp
0,small,full,0.5773390265903089,0.5786281846385666,-1.331833632951529,1.2820204494907506
0,small,student,0.5906573629198242,0.5856344490463906,0.0,-1.1215247192757127
0,small,random_rescue_10,0.597232561738968,0.5830776767890471,0.6575198819143813,1.1697146444856976
0,base,full,0.5901592310852164,0.5954197337688891,1.0717115358149343,1.2820204494907506
0,base,student,0.579442115727067,0.5774622408551163,0.0,-1.1215247192757127
0,base,random_rescue_10,0.608929708183825,0.6150858009174393,2.9487592456757916,1.1697146444856976
