seed,initialization,method,last_macro_accuracy,switch_after_epoch,delta_vs_masked_pp,delta_vs_random10_pp
0,scratch,student,0.5906573629198242,,0.0,-0.6575198819143813
0,scratch,random_rescue_10,0.597232561738968,,0.6575198819143813,0.0
0,scratch,low_score_rescue_10,0.5849621779093039,,-0.5695185010520243,-1.2270383829664055
0,scratch,adaptive_random_to_low_10,0.6129029895267907,70,2.2245626606966495,1.5670427787822683
0,scratch,adaptive_random_to_student,0.597232561738968,,0.6575198819143813,0.0
0,imagenet,student,0.963599756328031,,0.0,-0.35431482103145395
0,imagenet,random_rescue_10,0.9671429045383455,,0.35431482103145395,0.0
0,imagenet,low_score_rescue_10,0.9694684859336945,,0.5868729605663536,0.23255813953489968
0,imagenet,adaptive_random_to_low_10,0.9687003360215772,50,0.510057969354627,0.15574314832317304
0,imagenet,adaptive_random_to_student,0.9666090088095114,50,0.3009252481480429,-0.05338957288341106
