seed,initialization,method,epoch,lr,active_method,val_macro_accuracy,val_accuracy,train_loss,optimizer_updates,train_seconds,epoch_seconds_with_probe,swaps,added_foreground,removed_foreground
0,imagenet,adaptive_random_to_low_10,1,1e-05,random_rescue_10,0.7550000000000001,0.755,1.790064133644104,47,97.14600776787847,113.02771739684977,10.0,0.6515,2.9323333333333332
0,imagenet,adaptive_random_to_low_10,2,2e-05,random_rescue_10,0.9359999999999999,0.936,0.8792411963144938,47,95.00667578098364,110.8588130469434,10.0,0.6108333333333333,2.942833333333333
0,imagenet,adaptive_random_to_low_10,3,3.0000000000000004e-05,random_rescue_10,0.959,0.959,0.46588998881975807,47,95.00081807700917,110.76147462707013,10.0,0.5775,2.9795
0,imagenet,adaptive_random_to_low_10,4,4e-05,random_rescue_10,0.9610000000000001,0.961,0.37122184912363687,47,93.92419214802794,109.68123422889039,10.0,0.6005,2.9671666666666665
0,imagenet,adaptive_random_to_low_10,5,5e-05,random_rescue_10,0.9649999999999999,0.965,0.3289196996688843,47,94.15161492512561,109.77070241305046,10.0,0.614,2.938
0,imagenet,adaptive_random_to_low_10,6,5e-05,random_rescue_10,0.9630000000000001,0.963,0.30133851210276286,47,94.86562030715868,110.73028341191821,10.0,0.6316666666666667,2.9313333333333333
0,imagenet,adaptive_random_to_low_10,7,4.9986318311391235e-05,random_rescue_10,0.967,0.967,0.29088522505760195,47,94.86660602199845,111.09375912416726,10.0,0.6461666666666667,2.908333333333333
0,imagenet,adaptive_random_to_low_10,8,4.994528852626726e-05,random_rescue_10,0.968,0.968,0.28172113505999247,47,96.15471942699514,111.73898271401413,10.0,0.6216666666666667,2.9323333333333332
0,imagenet,adaptive_random_to_low_10,9,4.987695646966835e-05,random_rescue_10,0.9639999999999999,0.964,0.2769751416047414,47,94.07710081199184,109.94860686315224,10.0,0.6563333333333333,2.8998333333333335
0,imagenet,adaptive_random_to_low_10,10,4.9781398459792115e-05,random_rescue_10,0.958,0.958,0.27553432234128317,47,94.33306703995913,113.85355776897632,10.0,0.6401666666666667,2.9086666666666665
