seed,initialization,method,epoch,active_method,favorable,diagnostic_seconds,teacher_full_image_passes,teacher_98_image_passes,kl_gain,true_logp_gain,flip_gain
0,imagenet,adaptive_random_to_low_10,10,random_rescue_10,True,3.8486678891349584,200,1200,0.01601216569542885,0.01911039650440216,0.0033333338797092438
0,imagenet,adaptive_random_to_low_10,20,random_rescue_10,True,3.6180950559210032,0,1200,0.006897106766700745,0.012879326939582825,0.009999997913837433
0,imagenet,adaptive_random_to_low_10,30,random_rescue_10,False,3.653115508845076,0,1200,-0.003985613584518433,-0.0074641406536102295,0.0
0,imagenet,adaptive_random_to_low_10,40,random_rescue_10,True,3.684495775960386,0,1200,0.007271245121955872,0.014121189713478088,0.0
0,imagenet,adaptive_random_to_low_10,50,random_rescue_10,True,3.576105006970465,0,1200,0.005487896502017975,0.006369888782501221,0.0066666677594184875
0,imagenet,adaptive_random_to_student,10,random_rescue_10,False,3.7921997390221804,200,800,-0.000543057918548584,-0.003267437219619751,-0.006666665896773338
0,imagenet,adaptive_random_to_student,20,random_rescue_10,True,3.4791833818890154,0,800,0.011654715985059738,0.01629839837551117,0.006666665896773338
0,imagenet,adaptive_random_to_student,30,random_rescue_10,False,3.4430782799609005,0,800,0.0009266212582588196,-0.0006146281957626343,0.006666665896773338
0,imagenet,adaptive_random_to_student,40,random_rescue_10,True,3.513242078013718,0,800,0.004833407700061798,0.0027678608894348145,0.0016666650772094727
0,imagenet,adaptive_random_to_student,50,random_rescue_10,True,3.6310408818535507,0,800,0.010229989886283875,0.007634177803993225,0.00833333469927311
0,scratch,adaptive_random_to_low_10,10,random_rescue_10,False,3.903157552005723,200,1200,-0.043147191405296326,-0.04898709058761597,-0.02499999850988388
0,scratch,adaptive_random_to_low_10,20,random_rescue_10,False,3.6801298651844263,0,1200,-0.004359766840934753,-0.0068225860595703125,-0.00833333283662796
0,scratch,adaptive_random_to_low_10,30,random_rescue_10,False,3.658591464161873,0,1200,-0.038200750946998596,-0.04448902606964111,-0.004999995231628418
0,scratch,adaptive_random_to_low_10,40,random_rescue_10,False,3.677983395056799,0,1200,-0.020676419138908386,-0.025419652462005615,-0.0033333376049995422
0,scratch,adaptive_random_to_low_10,50,random_rescue_10,False,3.731616602977738,0,1200,0.00635102391242981,0.002804577350616455,-0.0016666650772094727
0,scratch,adaptive_random_to_low_10,60,random_rescue_10,True,3.6559726670384407,0,1200,0.03874179720878601,0.037769585847854614,0.004999998956918716
0,scratch,adaptive_random_to_low_10,70,random_rescue_10,True,3.702384906820953,0,1200,0.017810553312301636,0.0173092782497406,0.0033333338797092438
0,scratch,adaptive_random_to_student,10,random_rescue_10,False,3.6371414090972394,200,800,-0.13253939151763916,-0.15410608053207397,-0.04833333194255829
0,scratch,adaptive_random_to_student,20,random_rescue_10,False,3.6075166759546846,0,800,-0.05583551526069641,-0.06416738033294678,-0.023333333432674408
0,scratch,adaptive_random_to_student,30,random_rescue_10,False,3.7077037040144205,0,800,-0.05023519694805145,-0.06612211465835571,-0.018333330750465393
0,scratch,adaptive_random_to_student,40,random_rescue_10,False,3.3540643039159477,0,800,-0.042384639382362366,-0.0486009418964386,-0.013333335518836975
0,scratch,adaptive_random_to_student,50,random_rescue_10,False,3.4100246930029243,0,800,-0.020556241273880005,-0.032876789569854736,-0.023333333432674408
0,scratch,adaptive_random_to_student,60,random_rescue_10,False,3.3885937710292637,0,800,-0.023242413997650146,-0.03575405478477478,-0.020000003278255463
0,scratch,adaptive_random_to_student,70,random_rescue_10,False,3.6713833301328123,0,800,-0.012551665306091309,-0.015793800354003906,0.0
0,scratch,adaptive_random_to_student,80,random_rescue_10,False,3.38867389713414,0,800,-0.0523008331656456,-0.06106233596801758,-0.03166666999459267
0,scratch,adaptive_random_to_student,90,random_rescue_10,False,3.5920975729823112,0,800,-0.004246354103088379,-0.00565674901008606,-0.0033333338797092438
0,scratch,adaptive_random_to_student,100,random_rescue_10,False,3.3338395189493895,0,800,-0.02776661515235901,-0.03563794493675232,-0.018333330750465393
