epoch,seed,student_correct,teacher_full_correct,teacher_masked_correct,teacher_raw_correct,student_prediction,teacher_prediction,teacher_masked_prediction,teacher_mask_kl,teacher_raw_kl,teacher_student_kl,prediction_agreement,teacher_flip,correction_opportunity,correction_signal_preserved,swaps,raw_background_ratio,raw_foreground_missing,raw_background_excess_vs_area,raw_foreground_area_missing,raw_zero_foreground,actual_background_ratio,actual_foreground_missing,actual_background_excess_vs_area,actual_foreground_area_missing,actual_zero_foreground,added_foreground,removed_foreground,initialization,method,n_probe
0,0,0.055,0.98,0.955,0.965,4.295,4.485,4.375,0.07673554122447968,0.04942389577627182,1.9759149551391602,0.055,0.03,0.925,0.895,10.0,0.7058673469387755,0.08231790489358617,-0.1188265306122449,0.11018673395505175,0.05,0.729234693877551,0.1679639018459042,-0.0954591836734694,0.1908127719233744,0.05,0.55,2.84,imagenet,adaptive_random_to_low_10,200
1,0,0.75,0.98,0.955,0.96,4.455,4.485,4.4,0.06486073136329651,0.060337889939546585,1.0578465461730957,0.75,0.025,0.235,0.225,10.0,0.7025,0.07956746080398516,-0.1221938775510204,0.10392138346331194,0.05,0.7273979591836734,0.17505997373481066,-0.09729591836734695,0.18818330444977618,0.05,0.53,2.97,imagenet,adaptive_random_to_low_10,200
2,0,0.945,0.98,0.965,0.955,4.4,4.485,4.455,0.036755405366420746,0.04234221577644348,0.24738061428070068,0.945,0.015,0.045,0.045,10.0,0.6980102040816327,0.07467830591872324,-0.12668367346938778,0.09221563921004418,0.05,0.7235204081632653,0.1665751335483588,-0.10117346938775512,0.17334048582008107,0.05,0.5,3.0,imagenet,adaptive_random_to_low_10,200
3,0,0.955,0.98,0.945,0.96,4.385,4.485,4.41,0.08786217868328094,0.024034852162003517,0.10397077351808548,0.96,0.035,0.03,0.025,10.0,0.6965816326530613,0.06575660670491737,-0.12811224489795917,0.08795723139555775,0.05,0.7237755102040816,0.159866173014558,-0.10091836734693878,0.1751110313180834,0.05,0.475,3.14,imagenet,adaptive_random_to_low_10,200
4,0,0.955,0.98,0.95,0.965,4.4,4.485,4.395,0.06651370227336884,0.03208934888243675,0.09514395892620087,0.96,0.03,0.03,0.025,10.0,0.6999489795918368,0.07247333608734305,-0.12474489795918366,0.0960707291426661,0.05,0.7265306122448979,0.16771346344654925,-0.09816326530612245,0.18078836644708646,0.05,0.49,3.095,imagenet,adaptive_random_to_low_10,200
5,0,0.95,0.98,0.955,0.965,4.345,4.485,4.475,0.060827236622571945,0.029763752594590187,0.09153907746076584,0.955,0.03,0.035,0.035,10.0,0.7013265306122449,0.0754330593303232,-0.12336734693877553,0.10066555774508743,0.05,0.7264285714285715,0.17095296964126155,-0.09826530612244898,0.18301172072533517,0.05,0.54,3.0,imagenet,adaptive_random_to_low_10,200
6,0,0.94,0.98,0.955,0.97,4.415,4.485,4.39,0.05125296488404274,0.0343976765871048,0.12179229408502579,0.945,0.025,0.045,0.04,10.0,0.7038265306122449,0.08399077673617109,-0.1208673469387755,0.10743470850211452,0.05,0.7291326530612244,0.17555727754787548,-0.09556122448979593,0.19104619672871195,0.05,0.575,3.055,imagenet,adaptive_random_to_low_10,200
7,0,0.955,0.98,0.96,0.96,4.43,4.485,4.365,0.05490095168352127,0.055581435561180115,0.1027597039937973,0.96,0.025,0.03,0.03,10.0,0.7042346938775509,0.08526515571474444,-0.12045918367346939,0.11085743007002748,0.05,0.7280102040816326,0.17517550018149036,-0.09668367346938776,0.1892014044104144,0.05,0.545,2.875,imagenet,adaptive_random_to_low_10,200
8,0,0.95,0.98,0.965,0.96,4.425,4.485,4.4,0.06156410276889801,0.04458138346672058,0.08987539261579514,0.955,0.02,0.035,0.03,10.0,0.7039285714285716,0.08373910974552472,-0.12076530612244898,0.10841011783821158,0.05,0.7285204081632654,0.17635798712250483,-0.09617346938775512,0.18441329784691335,0.05,0.505,2.915,imagenet,adaptive_random_to_low_10,200
9,0,0.965,0.98,0.94,0.965,4.36,4.485,4.4,0.10686006397008896,0.04656606540083885,0.0814460813999176,0.97,0.04,0.02,0.015,10.0,0.7046938775510203,0.08463749225791933,-0.12,0.10774936241024989,0.05,0.7284693877551021,0.16928508139801873,-0.09622448979591837,0.18694541130680592,0.05,0.52,2.85,imagenet,adaptive_random_to_low_10,200
