seed,initialization,method,epoch,mask,repeat,teacher_accuracy,teacher_full_accuracy,kl,full_correct_to_wrong,background_ratio,foreground_missing,swaps
0,imagenet,adaptive_random_to_low_10,0,student,0,0.965,0.98,0.049423896,0.015,0.7058673469387755,0.08231790489358617,0.0
0,imagenet,adaptive_random_to_low_10,0,random,0,0.95,0.98,0.07085513,0.03,0.8246938775510205,0.48994748795493875,0.0
0,imagenet,adaptive_random_to_low_10,0,random_rescue_10,0,0.955,0.98,0.07673554,0.03,0.729234693877551,0.1679639018459042,10.0
0,imagenet,adaptive_random_to_low_10,0,foreground_rescue_10,0,0.96,0.98,0.052042674,0.02,0.677295918367347,0.025096868132710646,2.8
0,imagenet,adaptive_random_to_low_10,0,low_score_rescue_10,0,0.95,0.98,0.07409613,0.03,0.7128571428571427,0.09592084560465473,10.0
0,imagenet,adaptive_random_to_low_10,0,random_matched,0,0.96,0.98,0.05148281,0.02,0.7163775510204081,0.09909034654213109,2.8
0,imagenet,adaptive_random_to_low_10,50,student,0,0.95,0.98,0.067873865,0.03,0.7090816326530613,0.09314778817381146,0.0
0,imagenet,adaptive_random_to_low_10,50,random,0,0.95,0.98,0.07085513,0.03,0.8246938775510205,0.48994748795493875,0.0
0,imagenet,adaptive_random_to_low_10,50,random_rescue_10,0,0.945,0.98,0.092065275,0.035,0.7331122448979592,0.18570360240628758,10.0
0,imagenet,adaptive_random_to_low_10,50,foreground_rescue_10,0,0.95,0.98,0.058070116,0.03,0.6788775510204081,0.0280102823680705,2.96
0,imagenet,adaptive_random_to_low_10,50,low_score_rescue_10,0,0.95,0.98,0.069692105,0.03,0.7170408163265307,0.10884029475704474,10.0
0,imagenet,adaptive_random_to_low_10,50,random_matched,0,0.945,0.98,0.07155619,0.035,0.7192857142857142,0.10963703279189478,2.96
0,imagenet,adaptive_random_to_low_10,100,student,0,0.965,0.98,0.038874365,0.02,0.7065306122448979,0.08882798140243262,0.0
0,imagenet,adaptive_random_to_low_10,100,random,0,0.95,0.98,0.07085513,0.03,0.8246938775510205,0.48994748795493875,0.0
0,imagenet,adaptive_random_to_low_10,100,random_rescue_10,0,0.965,0.98,0.033158824,0.02,0.7307142857142856,0.17553556767066192,10.0
0,imagenet,adaptive_random_to_low_10,100,foreground_rescue_10,0,0.955,0.98,0.060993787,0.03,0.6773979591836735,0.02640318120829065,2.855
0,imagenet,adaptive_random_to_low_10,100,low_score_rescue_10,0,0.945,0.98,0.07317708,0.04,0.7149489795918368,0.10312154765049021,10.0
0,imagenet,adaptive_random_to_low_10,100,random_matched,0,0.96,0.98,0.034555465,0.025,0.7156632653061225,0.10422067010729891,2.855
0,imagenet,adaptive_random_to_student,0,student,0,0.965,0.98,0.049423896,0.015,0.7058673469387755,0.08231790489358617,0.0
0,imagenet,adaptive_random_to_student,0,random,0,0.95,0.98,0.07085513,0.03,0.8246938775510205,0.48994748795493875,0.0
0,imagenet,adaptive_random_to_student,0,random_rescue_10,0,0.955,0.98,0.07673554,0.03,0.729234693877551,0.1679639018459042,10.0
0,imagenet,adaptive_random_to_student,0,foreground_rescue_10,0,0.96,0.98,0.052042674,0.02,0.677295918367347,0.025096868132710646,2.8
0,imagenet,adaptive_random_to_student,0,low_score_rescue_10,0,0.95,0.98,0.07409613,0.03,0.7128571428571427,0.09592084560465473,10.0
0,imagenet,adaptive_random_to_student,0,random_matched,0,0.96,0.98,0.05148281,0.02,0.7163775510204081,0.09909034654213109,2.8
0,imagenet,adaptive_random_to_student,50,student,0,0.95,0.98,0.067873865,0.03,0.7090816326530613,0.09314778817381146,0.0
0,imagenet,adaptive_random_to_student,50,random,0,0.95,0.98,0.07085513,0.03,0.8246938775510205,0.48994748795493875,0.0
0,imagenet,adaptive_random_to_student,50,random_rescue_10,0,0.945,0.98,0.092065275,0.035,0.7331122448979592,0.18570360240628758,10.0
0,imagenet,adaptive_random_to_student,50,foreground_rescue_10,0,0.95,0.98,0.058070116,0.03,0.6788775510204081,0.0280102823680705,2.96
0,imagenet,adaptive_random_to_student,50,low_score_rescue_10,0,0.95,0.98,0.069692105,0.03,0.7170408163265307,0.10884029475704474,10.0
0,imagenet,adaptive_random_to_student,50,random_matched,0,0.945,0.98,0.07155619,0.035,0.7192857142857142,0.10963703279189478,2.96
0,imagenet,adaptive_random_to_student,100,student,0,0.965,0.98,0.042141236,0.02,0.7058673469387753,0.08641696651778775,0.0
0,imagenet,adaptive_random_to_student,100,random,0,0.95,0.98,0.07085513,0.03,0.8246938775510205,0.48994748795493875,0.0
0,imagenet,adaptive_random_to_student,100,random_rescue_10,0,0.955,0.98,0.05259696,0.03,0.73,0.17107899447726005,10.0
0,imagenet,adaptive_random_to_student,100,foreground_rescue_10,0,0.96,0.98,0.05161393,0.025,0.677295918367347,0.025877264794592576,2.8
0,imagenet,adaptive_random_to_student,100,low_score_rescue_10,0,0.955,0.98,0.058159865,0.03,0.7133673469387755,0.10013097374703975,10.0
0,imagenet,adaptive_random_to_student,100,random_matched,0,0.97,0.98,0.037262224,0.015,0.7153571428571429,0.1021126482324288,2.8
0,scratch,adaptive_random_to_low_10,0,student,0,0.875,0.98,0.3295332,0.105,0.850561224489796,0.5981794121635886,0.0
0,scratch,adaptive_random_to_low_10,0,random,0,0.95,0.98,0.07085513,0.03,0.8246938775510205,0.48994748795493875,0.0
0,scratch,adaptive_random_to_low_10,0,random_rescue_10,0,0.895,0.98,0.20119835,0.085,0.8451530612244897,0.5638985049597482,10.0
0,scratch,adaptive_random_to_low_10,0,foreground_rescue_10,0,0.925,0.98,0.12588541,0.055,0.775,0.23701169783036988,7.405
0,scratch,adaptive_random_to_low_10,0,low_score_rescue_10,0,0.88,0.98,0.27229047,0.1,0.844795918367347,0.5859170772430334,10.0
0,scratch,adaptive_random_to_low_10,0,random_matched,0,0.9,0.98,0.24033962,0.08,0.8449489795918368,0.5758685372196981,7.405
0,scratch,adaptive_random_to_low_10,50,student,0,0.895,0.98,0.19460568,0.085,0.822295918367347,0.4943198399052507,0.0
0,scratch,adaptive_random_to_low_10,50,random,0,0.95,0.98,0.07085513,0.03,0.8246938775510205,0.48994748795493875,0.0
0,scratch,adaptive_random_to_low_10,50,random_rescue_10,0,0.92,0.98,0.17140272,0.065,0.8236224489795919,0.5054899697884224,10.0
0,scratch,adaptive_random_to_low_10,50,foreground_rescue_10,0,0.93,0.98,0.13602433,0.05,0.7507142857142859,0.16838456411898964,7.015
