seed,initialization,method,epoch,lr,val_macro_accuracy,val_accuracy,train_loss,optimizer_updates,train_seconds,epoch_seconds_with_probe,swaps,added_foreground,removed_foreground
0,imagenet,random_anneal_10,1,1e-05,0.7550000000000001,0.755,1.790064133644104,47,97.24070681189187,113.18444799701683,10.0,0.6515,2.9323333333333332
0,imagenet,random_anneal_10,2,2e-05,0.9359999999999999,0.936,0.8792411963144938,47,99.32083838805556,115.91584497387521,10.0,0.6108333333333333,2.942833333333333
0,imagenet,random_anneal_10,3,3.0000000000000004e-05,0.959,0.959,0.46588998881975807,47,94.07853223895654,109.93204593216069,10.0,0.5775,2.9795
0,imagenet,random_anneal_10,4,4e-05,0.9610000000000001,0.961,0.37122184912363687,47,96.16241656197235,111.80651859892532,10.0,0.6005,2.9671666666666665
0,imagenet,random_anneal_10,5,5e-05,0.9649999999999999,0.965,0.3289196996688843,47,96.78682680311613,112.86331860907376,10.0,0.614,2.938
0,imagenet,random_anneal_10,6,5e-05,0.9630000000000001,0.963,0.30133851210276286,47,94.0694885251578,109.3548210230656,10.0,0.6316666666666667,2.9313333333333333
0,imagenet,random_anneal_10,7,4.9986318311391235e-05,0.967,0.967,0.29088522505760195,47,93.98926859302446,110.5890338991303,10.0,0.6461666666666667,2.908333333333333
0,imagenet,random_anneal_10,8,4.994528852626726e-05,0.968,0.968,0.28172113505999247,47,94.13307135296054,109.8935776471626,10.0,0.6216666666666667,2.9323333333333332
0,imagenet,random_anneal_10,9,4.987695646966835e-05,0.9639999999999999,0.964,0.2769751416047414,47,93.79037727997638,109.30127692501992,10.0,0.6563333333333333,2.8998333333333335
0,imagenet,random_anneal_10,10,4.9781398459792115e-05,0.958,0.958,0.27553432234128317,47,94.37516298308037,116.70382317597978,10.0,0.6401666666666667,2.9086666666666665
0,imagenet,random_anneal_10,11,4.96587212227557e-05,0.9639999999999999,0.964,0.2724580944379171,47,93.7919468160253,109.51199349202216,10.0,0.6741666666666667,2.912166666666667
0,imagenet,random_anneal_10,12,4.950906177339638e-05,0.961,0.961,0.2680817329088847,47,93.86706781899557,109.56165616586804,10.0,0.6795,2.8678333333333335
0,imagenet,random_anneal_10,13,4.9332587262243413e-05,0.959,0.959,0.2679071356455485,47,93.44997701887041,109.11452373396605,10.0,0.6815,2.881
0,imagenet,random_anneal_10,14,4.912949478883223e-05,0.97,0.97,0.26597284944852195,47,94.43669772800058,110.04368872893974,10.0,0.686,2.8665
0,imagenet,random_anneal_10,15,4.890001118156936e-05,0.9629999999999999,0.963,0.2687770954767863,47,94.66315797204152,110.59454047703184,10.0,0.6983333333333334,2.8615
0,imagenet,random_anneal_10,16,4.864439274439401e-05,0.968,0.968,0.2640989838441213,47,93.62842157902196,109.30222357902676,10.0,0.7036666666666667,2.8393333333333333
0,imagenet,random_anneal_10,17,4.836292497051926e-05,0.966,0.966,0.26541492581367493,47,93.89251674385741,109.68690245202743,10.0,0.7328333333333333,2.8596666666666666
0,imagenet,random_anneal_10,18,4.8055922223572505e-05,0.968,0.968,0.2619601838588715,47,94.34928356879391,110.1392815161962,10.0,0.7468333333333333,2.8335
0,imagenet,random_anneal_10,19,4.7723727386491355e-05,0.962,0.962,0.2643007419904073,47,93.76734265801497,109.6327482399065,10.0,0.7515,2.828
0,imagenet,random_anneal_10,20,4.7366711478567095e-05,0.966,0.966,0.26228808697064715,47,94.59085905598477,110.27055739983916,10.0,0.7148333333333333,2.8308333333333335
0,imagenet,random_anneal_10,21,4.6985273241063454e-05,0.9629999999999999,0.963,0.26446600540479026,47,93.72658858797513,109.42571777920239,10.0,0.7236666666666667,2.8701666666666665
0,imagenet,random_anneal_10,22,4.657983869187342e-05,0.9569999999999999,0.957,0.2608629191716512,47,95.84633433702402,112.28725841385312,10.0,0.717,2.8621666666666665
0,imagenet,random_anneal_10,23,4.615086064971153e-05,0.961,0.961,0.2578061596552531,47,94.9633582199458,110.57539268489927,10.0,0.7108333333333333,2.8466666666666667
0,imagenet,random_anneal_10,24,4.5698818228373126e-05,0.959,0.959,0.263378528992335,47,95.0176730779931,110.5966172630433,10.0,0.6955,2.856
0,imagenet,random_anneal_10,25,4.522421630162529e-05,0.96,0.96,0.25989465665817263,47,94.27682701288722,116.52244523400441,10.0,0.7213333333333334,2.8566666666666665
0,imagenet,random_anneal_10,26,4.4727584939327193e-05,0.9579999999999999,0.958,0.25942300963401793,47,94.23784458800219,110.04659025091678,9.0,0.6506666666666666,2.5693333333333332
